 14_cell_neg_3	positive	0.125	0.25	it  would  be  . 
 14_cell_neg_4	negative	0.125	0.16666666666666666	And  I  am  a  devoted  Amazon  shopper  . 
 14_cell_neg_5	negative	0.125	0.21875	My  concern  was  always  whether  Amazon  was  up  to  the  daunting  task  of  selling  cell  phones  and  service  plans  .  .  . 
 14_cell_neg_6	negative	0.0001	0.25	a  concern 
 14_cell_neg_7	negative	0.0001	0.3125	that  has  proved  well  founded  . 
 14_cell_neg_8	negative	0.125	0.1875	I  was  originally  concerned 
 14_cell_neg_9	negative	0.0001	0.0001	because  of  feedback 
 14_cell_neg_10	negative	0.0001	0.25	I  had  read  on  this  site 
 14_cell_neg_11	negative	0.5	0.375	"indicating  the  Pearl  ""  shipped  hot  ,  ""  with  an  active  SIM  , "
 14_cell_neg_12	negative	0.0001	0.0001	which  meant  for  those 
 14_cell_neg_13	negative	0.125	0.375	that  --  like  me  -  were  upgrading 
 14_cell_neg_14	negative	0.0001	0.375	-LRB-  vs  .  new  service  -RRB-  , 
 14_cell_neg_15	negative	0.0001	0.0001	their  existing  phone  would  stop  working 
 14_cell_neg_16	negative	0.125	0.3125	while  the  new  phone  was  en  route  . 
 14_cell_neg_17	positive	0.125	0.4375	To  be  fair  , 
 14_cell_neg_18	positive	0.5625	0.125	that  did  NOT  happen  ;  however  , 
 14_cell_neg_19	negative	0.625	0.125	I  received  the  Pearl  with  a  SIM  card  that  the  phone  would  not  accept  . 
 14_cell_neg_20	negative	0.0001	0.0001	The  instructions 
 14_cell_neg_21	negative	0.125	0.25	that  are  sent  with  the  phone  say 
 14_cell_neg_22	negative	0.125	0.25	that  all  you  have  to  do  is  insert  the  SIM  ,  turn  on  the  phone  , 
 14_cell_neg_23	negative	0.0001	0.0001	and  it  will  work  . 
 14_cell_neg_24	negative	0.0001	0.0001	And  , 
 14_cell_neg_25	negative	0.0001	0.0001	if  it  does  n't  work  , 
 14_cell_neg_26	negative	0.0001	0.0001	it  says  , 
 14_cell_neg_27	negative	0.0001	0.1875	do  n't  call  Cingular  ,  call  Amazon  . 
 14_cell_neg_28	negative	0.0001	0.0001	I  followed  the  instructions 
 14_cell_neg_29	negative	0.0001	0.0001	--  phone  did  n't  work  , 
 14_cell_neg_30	negative	0.0001	0.1875	I  called  Amazon  , 
 14_cell_neg_31	negative	0.0001	0.0001	at  which  point  the  CSR  told  me 
 14_cell_neg_32	negative	0.125	0.25	that  he  had  all  my  information  and  someone  would  be  contacting  me  in  48  HOURS  !  !  ! 
 14_cell_neg_33	negative	0.875	0.0001	Unfortunately  , 
 14_cell_neg_34	negative	0.0001	0.25	I  let  the  poor  guy  have  it  .  .  . 
 14_cell_neg_35	negative	0.0001	0.375	I  told  him  what  I  truly  believe  , 
 14_cell_neg_36	negative	0.20833333333333334	0.20833333333333334	which  is  that  it  is  COMPLETELY  unacceptable  to  tell  me 
 14_cell_neg_37	negative	0.0001	0.25	I  have  to  wait  2  days  just  to  talk  to  someone  about 
 14_cell_neg_38	negative	0.0001	0.0001	why  my  phone  - 
 14_cell_neg_39	negative	0.125	0.25	which  is  supposed  to  work  out  of  the  box  --  is  n't  working  . 
 14_cell_neg_40	positive	0.0001	0.0001	So  -  5  Stars  for  the  phone 
 14_cell_neg_41	positive	0.0001	0.0001	itself  .  .  . 
 14_cell_neg_42	positive	0.0001	0.0001	awesome  ! 
 14_cell_neg_43	negative	0.0001	0.125	2  stars  for  Amazon  .  .  . 
 14_cell_neg_44	negative	0.625	0.25	they  do  NOT  have  the  kinks 
 14_cell_neg_45	negative	0.0001	0.25	worked  out  yet  . 
 14_cell_neg_46	negative	0.0001	0.625	On  a  positive  note  -- 
 14_cell_neg_47	negative	0.375	0.25	I  immediately  called  Cingular  , 
 14_cell_neg_48	negative	0.625	0.0001	and  they  resolved  the  problem  for  me  on  the  spot 
 14_cell_neg_49	negative	0.375	0.25	-LRB-  SIM  was  not  activated  \/  in  the  system  -RRB- 
 3_cell_pos_1	positive	0.0001	0.0001	I  bought  this  phone  as  part  of  the  Sprint\/Nextel  SERO  plan  . 
 3_cell_pos_2	negative	0.0001	0.0001	I  used  it  for  about  14  days  before  deciding 
 3_cell_pos_3	negative	0.125	0.4375	that  it  did  n't  fit  my  needs  for  several  reasons 
 3_cell_pos_4	negative	0.0001	0.0001	outlined  below  : 
 3_cell_pos_5	negative	0.375	0.25	-  Battery  life  was  sporadic  -- 
 3_cell_pos_6	negative	0.0001	0.125	I  got  maybe  a  day  worth  of  power  from  it  . 
 3_cell_pos_7	negative	0.0001	0.5	One  time  it  completely 
 3_cell_pos_8	negative	0.0001	0.125	discharged  overnight  . 
 3_cell_pos_9	negative	0.0001	0.0001	For  the  price  of  the  phone 
 3_cell_pos_10	negative	0.0001	0.25	-LRB-  and  the  two  year  contract  it  carries  -RRB- 
 3_cell_pos_11	negative	0.125	0.25	this  is  a  dealbreaker  . 
 3_cell_pos_12	negative	0.0001	0.25	-  The  Nextel  network  coverage  has  gone  downhill  in  my  area 
 3_cell_pos_13	negative	0.125	0.1875	-LRB-  I  was  a  former  Nextel  subscriber  for  3  years 
 3_cell_pos_14	negative	0.0001	0.0001	- 
 3_cell_pos_15	negative	0.0001	0.25	so  I  have  some  experience  with  coverage  around  town  -RRB-  . 
 3_cell_pos_16	negative	0.1875	0.1875	I  was  getting  disconnects 
 3_cell_pos_17	negative	0.625	0.0001	and  sporadic  no  signals  . 
 3_cell_pos_18	negative	0.0001	0.25	-  The  phone  would  sporadically  mute  the  ringer  . 
 3_cell_pos_19	negative	0.0001	0.0001	An  incoming  call  would  light  up  the  display 
 3_cell_pos_20	negative	0.1875	0.3125	but  there  would  be  no  ringing  . 
 3_cell_pos_21	negative	0.0001	0.0001	This  seems 
 3_cell_pos_22	negative	0.0001	0.0001	to  happen 
 3_cell_pos_23	negative	0.0001	0.25	after  I  had  put  the  phone  on  vibrate 
 3_cell_pos_24	negative	0.0001	0.0001	and  then  turned  it  back 
 3_cell_pos_25	negative	0.0001	0.0001	to  ring  . 
 3_cell_pos_26	negative	0.0001	0.0001	-  For  the  same  monthly  service  fee  , 
 3_cell_pos_27	negative	0.2916666666666667	0.25	I  was  getting  less  access  to  web  services  and  no  high  speed  Internet  ability  . 
 3_cell_pos_28	negative	0.3333333333333333	0.1875	Admittedly  the  high  speed  access  is  not  as  useful  on  a  tiny  screen  -- 
 3_cell_pos_29	negative	0.125	0.25	but  if  I  'm  going  to  be  locked  into  a  2  year  contract 
 3_cell_pos_30	negative	0.0001	0.1875	I  would  like  to  have  some  fast  internet  access  on  the  phone  . 
 3_cell_pos_31	negative	0.125	0.0001	The  i880  still  uses  the  slow  Nextel  data  network  . 
 3_cell_pos_32	positive	0.3333333333333333	0.25	I  was  not  a  Direct  Connect\/Walkie  Talkie  user  . 
 3_cell_pos_33	positive	0.125	0.25	If  I  were  , 
 3_cell_pos_34	positive	0.34375	0.1875	then  my  opinion  of  this  phone  might  be  a  little  higher 
 3_cell_pos_35	positive	0.125	0.5	-LRB-  since  Nextel  presently  has  arguably  the  best  fully  functioning  walkie  talkie  network  -RRB-  . 
 3_cell_pos_36	negative	0.375	0.25	I  could  not  justify  being  locked  into  a  2  year  contract  with  equipment 
 3_cell_pos_37	negative	0.0001	0.0001	that  seemed  sub-par  on  a  network 
 3_cell_pos_38	negative	0.625	0.0001	that  did  not 
 3_cell_pos_39	negative	0.3333333333333333	0.2916666666666667	-LRB-  and  likely  never  will  -RRB-  support  the  latest  high  speed  technologies  . 
 3_cell_pos_40	positive	0.125	0.25	Below  were  my  initial  impressions  during  the  time  I  used  the  phone  : 
 3_cell_pos_41	positive	0.0001	0.0001	Thankfully  Motorola  designed  the  phone 
 3_cell_pos_42	positive	0.125	0.4375	so  the  micro-SD  card  is  accessible  from  the  outside  -- 
 3_cell_pos_43	positive	0.125	0.125	no  need  to  pull  the  battery 
 3_cell_pos_44	positive	0.0001	0.0001	to  update  the  card  . 
 3_cell_pos_45	negative	0.125	0.25	Here  's  the  big  things 
 3_cell_pos_46	negative	0.0001	0.125	I  do  n't  like  . 
 3_cell_pos_47	positive	0.0001	0.0001	1  . 
 3_cell_pos_48	negative	0.625	0.0001	You  CAN  NOT  use  any  mp3  songs 
 3_cell_pos_49	negative	0.0001	0.0001	that  you  transfer  to  the  micro-sd  card  as  ringtones  . 
 3_cell_pos_50	negative	0.625	0.0001	2  .  You  also  can  not  readily  load  additional  wallpapers 
 3_cell_pos_51	negative	0.125	0.25	unless  it  is  a  picture 
 3_cell_pos_52	negative	0.0001	0.375	you  took  with  the  phone  or  a  paid  download  . 
 3_cell_pos_53	negative	0.0001	0.0001	Any  message 
 3_cell_pos_54	negative	0.0001	0.0001	-LRB-  mms  -RRB- 
 3_cell_pos_55	negative	0.375	0.25	that  you  send  to  yourself  can  only  be  set  as  a  caller  id  image  and  not  wallpaper  . 
 3_cell_pos_56	negative	0.125	0.1875	3  .  Battery  life  on  my  phone  is  flaky  - 
 3_cell_pos_57	negative	0.0001	0.125	I  'm  getting  maybe  a  day  and  one-half  with  usage 
 3_cell_pos_58	negative	0.0001	0.0001	that  approximates  60  minutes  talk  time  and  perhaps  6  to  10  picture  messages  . 
 3_cell_pos_59	negative	0.0001	0.0001	You  must  pay  Nextel  to  download  ringtones  . 
 3_cell_pos_60	negative	0.125	0.25	There  are  some  users 
 3_cell_pos_61	negative	0.375	0.25	who  have  modified  the  phone 
 3_cell_pos_62	negative	0.25	0.1875	and  reportedly  are  able  to  use  ringtones  off  their  micro-SD  memory  card  -  however  the  process  is  more  technical  than  what  your  average  user  might  want  to  tangle  with  . 
 3_cell_pos_63	positive	0.0001	0.0001	Note  : 
 3_cell_pos_64	positive	0.125	0.25	Sprint  and  Nextel  are  both  owned  by  the  same  company  . 
 3_cell_pos_65	positive	0.0001	0.0001	If  you  `  re  making  a  decision  on  Sprint  vs  . 
 3_cell_pos_66	positive	0.0001	0.0001	Nextel  , 
 3_cell_pos_67	positive	0.125	0.25	there  are  only  a  couple  reasons 
 3_cell_pos_68	positive	0.0001	0.0001	that  I  can  think  of 
 3_cell_pos_69	positive	0.125	0.0001	to  recommend  Nextel  over  Sprint  . 
 3_cell_pos_70	positive	0.0001	0.0001	First  , 
 3_cell_pos_71	positive	0.125	0.5625	if  the  Nextel  coverage  is  better  . 
 3_cell_pos_72	positive	0.0001	0.0001	Second  , 
 3_cell_pos_73	positive	0.125	0.1875	if  you  have  a  need 
 3_cell_pos_74	positive	0.0001	0.0001	to  use  the  Nextel  Walkie  Talkie  feature  . 
 3_cell_pos_75	negative	0.25	0.1875	The  Sprint  side  of  the  company  features  phones  with  significantly  enhanced  web  browsing  and  higher  speed  data  communications  . 
 3_cell_pos_76	positive	0.125	0.25	The  Nextel  side  clings  to  the  larger  phones 
 3_cell_pos_77	positive	0.0001	0.0001	and  aims  their  services  at  the  industrial\/construction  market  . 
 3_cell_pos_78	negative	0.125	0.5625	For  almost  every  consumer  ,  the  Sprint  side  is  a  better  deal  . 
 3_cell_pos_79	negative	0.0001	0.5625	Sprint  in  my  experience  has  better  customer  service 
