3_cell_neg_1	positive	False	3_cell_neg_0	I ` ve used the Palm OS going on 10 years now .
3_cell_neg_2	negative	False	3_cell_neg_1	When my Treo 270 died ,
3_cell_neg_3	negative	False	3_cell_neg_2	I bought a used 270 on Ebay .
3_cell_neg_4	negative	False	3_cell_neg_3	Eventually that one died too
3_cell_neg_5	negative	False	3_cell_neg_4	and I bought an unlocked 650 on Amazon .
3_cell_neg_6	negative	False	3_cell_neg_5	"I called Palm "" tech support """
3_cell_neg_7	negative	False	3_cell_neg_6	on issues
3_cell_neg_8	negative	False	3_cell_neg_7	I had with it
3_cell_neg_9	negative	False	3_cell_neg_8	-LRB- dial up networking
3_cell_neg_10	negative	False	3_cell_neg_9	did n't work on internal browser with T-Mobile -RRB- .
3_cell_neg_11	negative	True	3_cell_neg_10	Forgive me for saying it ,
3_cell_neg_12	negative	False	3_cell_neg_11	but the guy at Palm support was as dumb as dumb can be .
3_cell_neg_13	negative	False	3_cell_neg_12	I got someone
3_cell_neg_14	negative	False	3_cell_neg_13	overseas
3_cell_neg_15	negative	False	3_cell_neg_14	who told
3_cell_neg_16	negative	False	3_cell_neg_15	me one inaccurate thing
3_cell_neg_17	negative	False	3_cell_neg_16	after another -LRB- he insisted
3_cell_neg_18	negative	True	3_cell_neg_17	that my Treo 270 never allowed dial up networking with the internal browser -
3_cell_neg_19	negative	True	3_cell_neg_18	even though I told him first hand
3_cell_neg_20	negative	False	3_cell_neg_19	that I used it all the time - did
3_cell_neg_21	negative	False	3_cell_neg_20	he think
3_cell_neg_22	negative	False	3_cell_neg_21	I was lying to him ? -RRB- .
3_cell_neg_23	negative	False	3_cell_neg_22	He knew nothing
3_cell_neg_24	negative	False	3_cell_neg_23	about the phone
3_cell_neg_25	negative	False	3_cell_neg_24	and kept deferring to a supervisor , constantly keeping me on hold
3_cell_neg_26	negative	False	3_cell_neg_25	and it was just a huge waste of time .
3_cell_neg_27	negative	False	3_cell_neg_26	After a few calls like this with no resolution
3_cell_neg_28	negative	False	3_cell_neg_27	I gave up
3_cell_neg_29	negative	False	3_cell_neg_28	and decided to return the 650 .
3_cell_neg_30	negative	False	3_cell_neg_29	I then tried the T-Mobile MDA .
3_cell_neg_31	negative	True	3_cell_neg_30	I was uneasy of the idea of switching to Windows PocketPC
3_cell_neg_32	negative	False	3_cell_neg_31	but decided to give it a try .
3_cell_neg_33	negative	False	3_cell_neg_32	For me
3_cell_neg_34	negative	False	3_cell_neg_33	it was a huge mistake - Pocket PC is a joke and completely unintuitive .
3_cell_neg_35	negative	False	3_cell_neg_34	They expect you to study
3_cell_neg_36	negative	False	3_cell_neg_35	how to use their OS
3_cell_neg_37	negative	False	3_cell_neg_36	in order to make use of its clumsy interface .
3_cell_neg_38	positive	False	3_cell_neg_37	Friends tell me they sell 3rd party applications
3_cell_neg_39	negative	False	3_cell_neg_38	that make
3_cell_neg_40	negative	False	3_cell_neg_39	it easier
3_cell_neg_41	negative	False	3_cell_neg_40	to use , but c'mon -
3_cell_neg_42	negative	False	3_cell_neg_41	when you buy a phone
3_cell_neg_43	negative	False	3_cell_neg_42	you expect it to work right from the beginning -
3_cell_neg_44	negative	False	3_cell_neg_43	I do n't want to have to spend time learning and installing additional software for it to work properly .
3_cell_neg_45	negative	False	3_cell_neg_44	Finally ,
3_cell_neg_46	negative	False	3_cell_neg_45	I give up on Pocket PC
3_cell_neg_47	negative	False	3_cell_neg_46	-LRB- sold it on Ebay -RRB-
3_cell_neg_48	positive	False	3_cell_neg_47	and give Palm another try
3_cell_neg_49	positive	False	3_cell_neg_48	when I see the 680 come out .
3_cell_neg_50	positive	False	3_cell_neg_49	The dialup
3_cell_neg_51	positive	False	3_cell_neg_50	networking issue is no longer a problem on the 680
3_cell_neg_52	negative	False	3_cell_neg_51	-LRB-
3_cell_neg_53	positive	False	3_cell_neg_52	as compared to the 650 -RRB-
3_cell_neg_54	negative	False	3_cell_neg_53	and
3_cell_neg_55	positive	False	3_cell_neg_54	I buy
3_cell_neg_56	positive	False	3_cell_neg_55	it unlocked directly from Palm .
3_cell_neg_57	positive	False	3_cell_neg_56	Overall ,
3_cell_neg_58	positive	False	3_cell_neg_57	it 's a decent phone
3_cell_neg_59	positive	False	3_cell_neg_58	and I just feel way more comfortable with Palm OS over Pocket PC .
3_cell_neg_60	negative	False	3_cell_neg_59	Palm customer support is still useless and ,
3_cell_neg_61	negative	False	3_cell_neg_60	as others have mentioned ,
3_cell_neg_62	negative	False	3_cell_neg_61	the lack of a standard Mini-USB connector is simply inexcusable .
3_cell_neg_63	positive	False	3_cell_neg_62	Still ,
3_cell_neg_64	positive	False	3_cell_neg_63	I 'm much happier with Palm-OS over Pocket PC .
3_cell_neg_65	negative	False	3_cell_neg_64	As I use it ,
3_cell_neg_66	negative	False	3_cell_neg_65	I see that the battery does n't seem to last very long
3_cell_neg_67	negative	False	3_cell_neg_66	-LRB- just over 2 hours of talktime at the most -RRB- .
3_cell_neg_68	negative	False	3_cell_neg_67	I hesitantly call
3_cell_neg_69	negative	False	3_cell_neg_68	Palm support and get some flunkie again -
3_cell_neg_70	negative	False	3_cell_neg_69	"I decide to cut my losses and stop wasting my time with their "" support "" ."
3_cell_neg_71	negative	False	3_cell_neg_70	I 'm just going to buy a second battery and second charger to keep the phone
3_cell_neg_72	negative	False	3_cell_neg_71	charged .
3_cell_neg_73	negative	True	3_cell_neg_72	I hate the idea of making such a compromise ,
3_cell_neg_74	negative	False	3_cell_neg_73	but for me
3_cell_neg_75	negative	False	3_cell_neg_74	it 's the lesser of two evils .
3_cell_neg_76	negative	False	3_cell_neg_75	The fact that Palm would release a phone with such terrible battery life is indicative of their customer mindset .
3_cell_neg_77	negative	False	3_cell_neg_76	They just do n't care .
3_cell_neg_78	negative	False	3_cell_neg_77	As clunky as my Windows MDA was , its battery life was at least 3 to 4 times
3_cell_neg_79	negative	False	3_cell_neg_78	what the Treo gives me
3_cell_neg_80	negative	True	3_cell_neg_79	-LRB- even though the MDA has a much bigger screen -RRB- .
3_cell_neg_81	negative	False	3_cell_neg_80	IMHO the Smartphone market is still going through growing pains -
3_cell_neg_82	negative	False	3_cell_neg_81	The original Handspring Treo was designed by good people ,
3_cell_neg_83	negative	False	3_cell_neg_82	when Palm bought them out they cashed in on the Treo product line
3_cell_neg_84	negative	False	3_cell_neg_83	but the customer oriented mentality of Handspring went right out the window - along with any intelligent design evolution of the Treo .
3_cell_neg_85	negative	False	3_cell_neg_84	Most of the better designed smartphones on the market
3_cell_neg_86	negative	False	3_cell_neg_85	-LRB- Samsung , Motorola , HTC Wizard -RRB-
3_cell_neg_87	negative	False	3_cell_neg_86	are all
3_cell_neg_88	negative	False	3_cell_neg_87	made for Pocket PC
3_cell_neg_89	negative	False	3_cell_neg_88	because Microsoft has used it 's clout
3_cell_neg_90	negative	False	3_cell_neg_89	to take over the market .
3_cell_neg_91	negative	False	3_cell_neg_90	I just wish other manufacturers offered Palm-OS based smartphones again - this way
3_cell_neg_92	positive	False	3_cell_neg_91	you 'd get the intuitive interface of Palm ,
3_cell_neg_93	negative	False	3_cell_neg_92	without having to be limited to Palm 's poorly designed hardware .
3_cell_neg_94	positive	False	3_cell_neg_93	. . . maybe it 's time I finally give the Blackberry a try . . . :
