8_cell_neg_2	because  my  Kyocera  Slider  suddenly  died  on  me  conveniently 	0.0001	0.125
8_cell_neg_3	3  months  after  VM  's  warranty  was  up 	0.125	0.25
8_cell_neg_4	and  i  had  just  purchased  a  $  20  phone 	0.0001	0.25
8_cell_neg_5	card  +  had  airtime  credits 	0.0001	0.25
8_cell_neg_6	which  were  not  refundable  . 	0.375	0.25
8_cell_neg_7	Now  i  am  not  a  teen 	0.375	0.25
8_cell_neg_8	and  my  phone  and  things  do  not  receive  harsh  treatment  . 	0.5625	0.0001
8_cell_neg_9	My  kyocera  slider  actually  looked  like  new 	0.0001	0.375
8_cell_neg_10	when  it  died  with  no  scratches  what-so-ever  so  i  was  pretty  upset  . 	0.16666666666666666	0.1875
8_cell_neg_11	After  multiple  calls  and  2  emails  to  VM 	0.0001	0.0001
8_cell_neg_12	it  was  pretty  clear  they  were  n't  going  to  do  anything  to  help  . 	0.16666666666666666	0.28125
8_cell_neg_13	I  was  offered  a  replacement  slider  at  $  20  . 	0.125	0.25
8_cell_neg_14	Obviously  I  did  n't  want  the  same  one 	0.0001	0.375
8_cell_neg_15	that  could  possibly  die  on  me 	0.0001	0.0001
8_cell_neg_16	after  a  couple  of  months  so  like  i  was  saying 	0.125	0.25
8_cell_neg_17	I  had  no  other  recourse 	0.625	0.25
8_cell_neg_18	but  to  purchase  this  Audiovox  8610  . 	0.0001	0.0001
8_cell_neg_19	By  the  way  AFTER 	0.0001	0.0001
8_cell_neg_20	I  PURCHASED  THE  PHONE  AT  A  LOCAL  STORE  IN  TOWN 	0.0001	0.0001
8_cell_neg_21	-LRB- 	0.0001	0.0001
8_cell_neg_22	when  i  called  to  activate  the  phone  -RRB- 	0.0001	0.25
8_cell_neg_23	they  have  the  nerve 	0.0001	0.25
8_cell_neg_24	to  tell  me  that  I  could  `  ve  purchased  the  same  8610  from  them  at  a  discount  price  of  $  24.99 	0.0001	0.0001
8_cell_neg_25	because  the  slider  died  . 	0.0001	0.0001
8_cell_neg_26	The  f  !  @  %  ng  idiots  ! 	0.125	0.0001
8_cell_neg_27	HELLO  COULD  YA  NOT  HAVE  TOLD  ME  SOONER  ?  ?  ? 	0.0001	0.0001
8_cell_neg_28	and  after  i  spent 	0.0001	0.125
8_cell_neg_29	$  50  +  tax  . 	0.0001	0.0001
8_cell_neg_30	sheesh  ! 	0.0001	0.0001
8_cell_neg_31	Anyway  back  to  the  phone  review  .  . 	0.0001	0.25
8_cell_neg_32	the  ringer  is  indeed  low 	0.1875	0.25
8_cell_neg_33	as  others  have  reported  here  . 	0.0001	0.25
8_cell_neg_34	Its  so  low  that  if  its  in  my  purse  i  ca  n't  even  hear  it  ! 	0.25	0.125
8_cell_neg_35	WTF  ?  ?  ? 	0.0001	0.0001
